Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,rent_pct_nycha,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb
Soundview/Parkchester,2000.0,0.20154575964807,,,,,,0.263999999999214,,,0.286321503852378,175432.0,0.03895526472,0.3214065849,0.5520771581,0.04865132929,7.0
Throgs Neck/Co-op City,2000.0,0.454988044202764,,,,,,0.21486573576658,,,0.101251976320782,111661.0,0.01696205479,0.2397345537,0.2340835207,0.4885412096,8.0
Pelham Parkway,2000.0,0.277590040015639,,,,,,0.264782608694077,,,0.175023684736516,119960.0,0.0636462154,0.1918056019,0.3467822608,0.3590863621,9.0
Williamsbridge/Baychester,2000.0,0.359197241548827,,,,,,0.273551020407467,,,0.194373742155221,136494.0,0.01889460343,0.6642196727,0.1756853781,0.1010007766,10.0
Williamsburg/Greenpoint,2000.0,0.145050852886925,,,,,,0.272727272724296,,,0.337663439109747,142098.0,0.03907866402,0.04025390927,0.3410181706,0.5247645991,11.0
Brooklyn Heights/Fort Greene,2000.0,0.263494000406354,,,,,,0.237773052385819,,,0.245056286450563,115106.0,0.04228276545,0.4175716296,0.1925008253,0.3109481695,12.0
Bedford Stuyvesant,2000.0,0.191571689882039,,,,,,0.292537313431239,,,0.359182512049301,121054.0,0.008392948601,0.7490789235,0.1895682918,0.02444363672,13.0
Bushwick,2000.0,0.137435641918273,,,,,,0.315999999998894,,,0.381607124643779,120710.0,0.02783530776,0.23430536,0.6780631265,0.03135614282,14.0
East New York/Starrett City,2000.0,0.234110350726041,,,,,,0.283969465646805,,,0.312528911010304,146857.0,0.03939887101,0.4569547247,0.3909789796,0.0595477233,15.0
Park Slope/Carroll Gardens,2000.0,0.287294102719898,,,,,,0.236966824642877,,,0.143914725711511,105555.0,0.04686656246,0.1120458529,0.241788641,0.5599071574,16.0
Sunset Park,2000.0,0.25221893491107,,,,,,0.274999999997817,,,0.263330324120034,139269.0,0.2178661439,0.03404921411,0.479065693,0.2303527705,17.0
North Crown Heights/Prospect Heights,2000.0,0.160190647173295,,,,,,0.259999999998399,,,0.281620971418306,123117.0,0.01542435245,0.7813055874,0.0981749068,0.07409212375,18.0
South Crown Heights,2000.0,0.149948861226221,,,,,,0.280331950205436,,,0.240279958723477,112670.0,0.007721665039,0.7902991036,0.08237330256,0.0861897577,19.0
Bay Ridge,2000.0,0.335617116492358,,,,,,0.235919999999169,,,0.139495248009553,119871.0,0.1358960883,0.0108700186,0.1084832862,0.6948302759,20.0
Bensonhurst,2000.0,0.31201571537531,,,,,,0.290837438420567,,,0.196500752019347,171778.0,0.2309725343,0.003964419192,0.08763636787,0.6473937291,21.0
Borough Park,2000.0,0.293388851467171,,,,,,0.32549999999901,,,0.284524789462012,158548.0,0.1115498146,0.02782753488,0.1072230492,0.707552287,22.0
Coney Island,2000.0,0.233030361630881,,,,,,0.294999999998254,,,0.284980250969966,116138.0,0.09594620193,0.1444144036,0.1560471164,0.5711136751,23.0
Flatbush,2000.0,0.203902953586294,,,,,,0.27161059647915,,,0.22752470328669,166315.0,0.0796199982,0.37448817,0.1292727655,0.375564441,24.0
Sheepshead Bay/Gravesend,2000.0,0.415617172580824,,,,,,0.278961038959096,,,0.167993200948331,149351.0,0.123065798,0.0314627957,0.06303272157,0.7579259596,25.0
Chelsea/Clinton/Midtown,2005.0,0.205542996798613,0.0,0.0326530612244898,89461.0,158180.0,74650.0,0.264999999999418,,,0.115825042199504,133175.0,0.1244077342,0.0561216445,0.1538501971,0.6464877041,31.0
Stuyvesant Town/Turtle Bay,2005.0,0.304198105397518,0.0,0.0,97884.0,151810.0,89750.0,0.250999999996566,,,0.0577019053998811,146269.0,0.1439060908,0.0295688082,0.0671570873,0.743445296,32.0
Upper West Side,2005.0,0.331128311099746,0.0,0.0338983050847458,115988.0,222620.0,72730.0,0.243999999998778,,,0.0931970603996888,208708.0,0.0658671445,0.0701602239,0.1291181938,0.7085114131,33.0
Upper East Side,2005.0,0.371105939597328,0.0,0.0,132456.0,191610.0,82160.0,0.281999999999243,,,0.0604805694997594,211724.0,0.0790510287,0.0245413841,0.0480909108,0.8282386503,34.0
Brownsville/Ocean Hill,2005.0,0.197103274598703,0.0384615384615385,0.982248520710059,45812.0,44490.0,23160.0,0.349999999998545,,,0.368953179498931,111136.0,0.0183918802,0.7615174201,0.2003761158,0.0055247625,26.0
East Flatbush,2005.0,0.331903507198149,0.0154494382022472,0.460674157303371,53338.0,75720.0,44430.0,0.303999999996449,,,0.122039221199884,143392.0,0.0083407721,0.8987949119,0.0653662687,0.0092125084,27.0
Flatlands/Canarsie,2005.0,0.557154835099936,0.00665642601126472,0.010752688172043,67450.0,82470.0,45830.0,0.291999999997643,,,0.0953182243993069,188016.0,0.0346300315,0.604459195,0.0640264658,0.2884435367,28.0
Astoria,2005.0,0.2228139739982,0.0,0.343023255813953,82284.0,76150.0,42280.0,0.322999999996682,,,0.183474013798332,196854.0,0.1501569691,0.0639153891,0.3082589127,0.4557692503,39.0
Sunnyside/Woodside,2005.0,0.266787278596894,0.0,0.316519546027743,54828.0,62330.0,48160.0,0.305999999996857,,,0.127309512599822,138863.0,0.3165061968,0.018701886,0.3531466265,0.2854035992,40.0
Jackson Heights,2005.0,0.355980499898578,0.00146412884333821,0.462664714494876,60552.0,69960.0,43740.0,0.339999999996508,,,0.161468173699177,181014.0,0.1691471378,0.0696962666,0.6221562973,0.125686411,41.0
Elmhurst/Corona,2005.0,0.263109191899275,0.00122249388753056,0.688264058679707,48121.0,67140.0,44620.0,0.336999999999534,,,0.181300508998902,139422.0,0.3519960982,0.0516919855,0.4702916326,0.108153663,42.0
Middle Village/Ridgewood,2005.0,0.437933112396422,0.00349040139616056,0.175392670157068,64522.0,73260.0,49920.0,0.321999999996478,,,0.135720934098572,169055.0,0.06036497,0.0076188223,0.3230427967,0.5940196977,43.0
Rego Park/Forest Hills,2005.0,0.41461956619969,0.0,0.0418454935622318,55672.0,83180.0,54300.0,0.321999999996478,,,0.0883756934999838,116490.0,0.2461928062,0.0210060949,0.144621856,0.5732251695,44.0
Flushing/Whitestone,2005.0,0.501335008593742,0.000394944707740916,0.17219589257504,94944.0,81750.0,48200.0,0.349999999998545,,,0.0997078733998933,241947.0,0.3783555903,0.0239101952,0.1786341637,0.4018111405,45.0
Hillcrest/Fresh Meadows,2005.0,0.460874887598038,0.0,0.00725513905683192,55316.0,82390.0,45740.0,0.305999999996857,,,0.080438756899639,137827.0,0.2924680941,0.1235679511,0.1608248021,0.3977087218,46.0
Ozone Park/Woodhaven,2005.0,0.501460987099563,0.00338983050847458,0.154802259887006,46501.0,72930.0,42890.0,0.332999999998719,,,0.135202271099843,132751.0,0.2205181129,0.0754495258,0.3775715437,0.2642013996,47.0
South Ozone Park/Howard Beach,2005.0,0.693063583799812,0.00589005235602094,0.0556282722513089,40554.0,72740.0,51470.0,0.36699999999837,,,0.0840171562995238,124086.0,0.2056154602,0.1875392873,0.1867817481,0.2883322857,48.0
Bayside/Little Neck,2005.0,0.723177542597114,0.0,0.00132362673726009,43803.0,93340.0,57270.0,0.330999999998312,,,0.0596264045998396,111573.0,0.3495110824,0.0207128965,0.0741039499,0.5359719645,49.0
Jamaica,2005.0,0.521194466797169,0.0178826895565093,0.251072961373391,75666.0,78060.0,40790.0,0.308999999997468,,,0.106787901599091,224774.0,0.0734248623,0.6904891135,0.1688362533,0.0214882504,50.0
Queens Village,2005.0,0.772386469499907,0.00397772474144789,0.00795544948289578,66877.0,91750.0,65680.0,0.281999999999243,,,0.0508909358995879,188995.0,0.1331781264,0.5878991508,0.0849652107,0.1649726183,51.0
Rockaways,2005.0,0.362846237199847,0.025990099009901,0.465346534653465,42179.0,84400.0,38260.0,0.286999999996624,,,0.171755793699049,111688.0,0.0208975002,0.468850727,0.1969593869,0.3042314304,52.0
North Shore,2005.0,0.598657336093311,0.0186583740559751,0.197245668591737,66098.0,86810.0,27570.0,0.371999999999389,,,0.155006809798579,168545.0,0.0772256667,0.2365896348,0.2304785072,0.4424812365,53.0
Mid-Island,2005.0,0.667814078995434,0.00408163265306122,0.0256559766763848,53780.0,88940.0,39550.0,0.318999999999505,,,0.125935503499932,131695.0,0.110998899,0.0127491552,0.1235582216,0.7436728805,54.0
South Shore,2005.0,0.85698488059279,0.00261894369271061,0.000872981230903536,54076.0,106700.0,52990.0,0.352999999999156,,,0.0472936788996776,155104.0,0.037877811,0.0044744172,0.0737376212,0.8783719311,55.0
Greenwich Village/Financial District,2005.0,0.26053249009783,0.0,0.0284974093264249,79065.0,170450.0,95960.0,0.253999999997177,,,0.0920266226994499,126659.0,0.1709313985,0.0291491327,0.0572876779,0.7214489298,29.0
Lower East Side/Chinatown,2005.0,0.137080766298823,0.0,0.614117647058824,73705.0,68870.0,34780.0,0.284999999999854,,,0.277023446597013,145556.0,0.3681538377,0.0589326445,0.2609854626,0.2962777213,30.0
Morningside Heights/Hamilton Heights,2005.0,0.165449342199281,0.0,0.567335243553009,49615.0,81350.0,28780.0,0.30199999999968,,,0.325265689898515,114405.0,0.0508631616,0.2826712119,0.4245880862,0.2058389056,35.0
Central Harlem,2005.0,0.0845984251991467,0.0,0.985507246376812,53895.0,86160.0,29270.0,0.306999999997061,,,0.353219247699599,118291.0,0.0137034939,0.7211368574,0.2009535806,0.0426490604,36.0
East Harlem,2005.0,0.0885556780995103,0.0,0.795275590551181,48908.0,87470.0,30980.0,0.30199999999968,,,0.297510331798549,109772.0,0.0374048027,0.2678643006,0.5483547717,0.1223080567,37.0
Washington Heights/Inwood,2005.0,0.073394253799961,0.00225733634311512,0.525959367945824,78819.0,110240.0,37770.0,0.313999999998487,,,0.249901731398495,215215.0,0.0215598355,0.0745672932,0.727611923,0.146026067,38.0
Mott Haven/Hunts Point,2005.0,0.0762390424997648,0.0566037735849057,0.990566037735849,50895.0,63380.0,14770.0,0.348999999998341,,,0.52191125369427,135114.0,0.0145728792,0.2385023018,0.7172905842,0.0122785204,1.0
Morrisania/Belmont,2005.0,0.0812874402990929,0.069620253164557,1.0,53093.0,72310.0,21380.0,0.35399999999936,,,0.42564716169727,140658.0,0.0023176783,0.3084787214,0.6303231953,0.0398199889,2.0
Highbridge/South Concourse,2005.0,0.0755485481995493,0.0368098159509202,0.987730061349693,48961.0,53950.0,23900.0,0.371999999999389,,,0.3566737602996,132813.0,0.0124761883,0.3122811773,0.6425726397,0.0044272775,3.0
University Heights/Fordham,2005.0,0.0571525576997374,0.0202702702702703,0.986486486486487,48324.0,77960.0,22210.0,0.391999999999825,,,0.409042071496515,131447.0,0.0120733071,0.3415673237,0.5896292802,0.0219251866,4.0
Kingsbridge Heights/Mosholu,2005.0,0.0988903683992248,0.0115830115830116,0.752895752895753,47498.0,51940.0,33850.0,0.333999999998923,,,0.279143911899155,131535.0,0.0753867792,0.1695746379,0.6251187897,0.0968107348,5.0
Riverdale/Kingsbridge,2005.0,0.311150807599915,0.0048661800486618,0.0900243309002433,44212.0,88280.0,48070.0,0.281999999999243,,,0.166903665098289,100157.0,0.04730573,0.14265603,0.4472378366,0.355162395,6.0
Soundview/Parkchester,2005.0,0.21940447579982,0.00917431192660551,0.73598369011213,68630.0,74440.0,33540.0,0.308999999997468,,,0.238256973998432,178944.0,0.0449190808,0.3031562947,0.5605273158,0.0575543187,7.0
Throgs Neck/Co-op City,2005.0,0.528852419498435,0.00107411385606874,0.0182599355531686,44246.0,70980.0,38770.0,0.299999999999272,,,0.108604751299936,98174.0,0.0156049463,0.241886854,0.2676370526,0.4619960478,8.0
Pelham Parkway,2005.0,0.309782239197375,0.0105124835742444,0.474375821287779,46183.0,87140.0,39000.0,0.304999999996653,,,0.174917297799766,119613.0,0.0608880306,0.1982476821,0.4242599049,0.2956284016,9.0
Williamsbridge/Baychester,2005.0,0.384936352296791,0.0174757281553398,0.267961165048544,50169.0,78650.0,38980.0,0.333999999998923,,,0.166809146499872,141185.0,0.0289195028,0.6471154868,0.2237773135,0.0693770585,10.0
Williamsburg/Greenpoint,2005.0,0.160326692699527,0.00223214285714286,0.774553571428571,52628.0,63730.0,33340.0,0.325999999997293,,,0.341530157897068,132287.0,0.0494379644,0.0520081338,0.3077173116,0.5783561499,11.0
Brooklyn Heights/Fort Greene,2005.0,0.313845100798062,0.0,0.171238570241064,54826.0,107130.0,45620.0,0.271999999997206,,,0.189589385399813,109811.0,0.0609319649,0.3347205653,0.219467995,0.3553560208,12.0
Bedford Stuyvesant,2005.0,0.232603289599865,0.00604838709677419,0.936491935483871,51665.0,75080.0,28090.0,0.306999999997061,,,0.26669581459646,135559.0,0.0139865299,0.7265987504,0.1922779011,0.0547584447,13.0
Bushwick,2005.0,0.122917817999223,0.0256821829855538,1.0,42169.0,74860.0,28940.0,0.332999999998719,,,0.340250444096455,115583.0,0.0307830736,0.2083005286,0.7003105993,0.0444009932,14.0
East New York/Starrett City,2005.0,0.2480117942996,0.021551724137931,0.907758620689655,51257.0,68010.0,29360.0,0.294999999998254,,,0.287895188899711,143543.0,0.0635976676,0.4825801328,0.3960067715,0.0448158392,15.0
Park Slope/Carroll Gardens,2005.0,0.347980874699715,0.00108342361863489,0.0639219934994583,50676.0,139350.0,71540.0,0.271999999997206,,,0.112216289599928,112313.0,0.0552384853,0.0931949107,0.1797654768,0.6387061159,16.0
Sunset Park,2005.0,0.334800179596641,0.0,0.609077598828697,47346.0,68710.0,37240.0,0.352999999999156,,,0.279023062998021,139547.0,0.2570746773,0.0215554616,0.4419872874,0.2582714068,17.0
North Crown Heights/Prospect Heights,2005.0,0.213673439699051,0.015625,0.676136363636364,52216.0,70740.0,31750.0,0.340999999996711,,,0.231512660799126,128655.0,0.0125374062,0.7560219191,0.1028098403,0.1103571567,18.0
South Crown Heights,2005.0,0.15522812459858,0.00357142857142857,0.742857142857143,40411.0,92180.0,44230.0,0.294999999998254,,,0.176618804998725,108000.0,0.0143333333,0.7609351852,0.1086296296,0.1061203704,19.0
Bay Ridge,2005.0,0.399134269799106,0.0,0.122033898305085,51159.0,83930.0,53520.0,0.274999999997817,,,0.13899902689991,124339.0,0.1630381457,0.0047209645,0.1846242933,0.6353356549,20.0
Bensonhurst,2005.0,0.348953538297792,0.0,0.350819672131148,68478.0,61260.0,43630.0,0.319999999999709,,,0.206239043898677,181857.0,0.2562122987,0.0055593131,0.1127644248,0.6197176903,21.0
Borough Park,2005.0,0.327643938097026,0.00199600798403194,0.616766467065868,50785.0,57950.0,35050.0,0.368999999998778,,,0.282070211596874,154525.0,0.1300825109,0.0309076201,0.1092638732,0.7129331823,22.0
Coney Island,2005.0,0.225325725999937,0.0,0.46539027982327,49884.0,70700.0,23700.0,0.297999999998865,,,0.270600695697794,109576.0,0.107042227,0.1485812829,0.1528313088,0.5823760566,23.0
Flatbush,2005.0,0.231152604199451,0.0,0.531300160513644,59807.0,82200.0,37940.0,0.347999999998137,,,0.211261569598719,156685.0,0.0833774771,0.345885056,0.1459042027,0.409854166,24.0
Sheepshead Bay/Gravesend,2005.0,0.475135709697497,0.000908265213442325,0.122615803814714,57725.0,78520.0,33480.0,0.349999999998545,,,0.173575765598798,151192.0,0.1558085084,0.0228186677,0.0627546431,0.746957511,25.0
Chelsea/Clinton/Midtown,2006.0,0.200644,0.0,0.0135628586332812,90715.0,142608.248926144,78336.7105618487,0.253,,,0.136072,131439.0,0.137311,0.0601952,0.145619,0.640426,31.0
Stuyvesant Town/Turtle Bay,2006.0,0.327897,0.0,0.0,96287.0,148481.549410965,95936.77397372,0.254,,,0.072016,138971.0,0.129761,0.0248037,0.0619482,0.766728,32.0
Upper West Side,2006.0,0.35636,0.0,0.0341191066997519,120652.0,227300.572383326,81839.3649569551,0.246,,,0.0902004,216812.0,0.0765825,0.0698162,0.107683,0.726574,33.0
Upper East Side,2006.0,0.372829,0.0,0.0,140164.0,192069.448618034,88896.7486089715,0.251,,,0.048191,214459.0,0.0718552,0.03707,0.0638677,0.8143,34.0
Brownsville/Ocean Hill,2006.0,0.215764,0.0142045454545455,0.948863636363636,44350.0,69387.2735976439,20696.0379338469,0.334,,,0.386853,116936.0,0.0030273,0.773355,0.203428,0.00780769,26.0
East Flatbush,2006.0,0.381856,0.00664010624169987,0.48738379814077,51871.0,76972.8451336656,40977.9567285908,0.331,,,0.191321,147390.0,0.00252392,0.895122,0.0645295,0.00988534,27.0
Flatlands/Canarsie,2006.0,0.623972,0.00573394495412844,0.00802752293577982,69777.0,92191.1035568645,47472.4359220662,0.288,,,0.10791,204600.0,0.0297361,0.592087,0.0593108,0.306285,28.0
Astoria,2006.0,0.203166,0.0,0.361904761904762,81353.0,66456.2028047123,49918.7145491618,0.296,,,0.171821,190247.0,0.129747,0.0669025,0.312709,0.458215,39.0
Sunnyside/Woodside,2006.0,0.294832,0.0,0.359188544152745,51933.0,69538.538672406,50985.0093384685,0.301,,,0.181096,128673.0,0.329704,0.0224212,0.345822,0.287908,40.0
Jackson Heights,2006.0,0.374685,0.0,0.481626270523847,57107.0,72142.2817625736,51521.8763661078,0.321,,,0.156705,176387.0,0.156128,0.0750679,0.613622,0.144404,41.0
Elmhurst/Corona,2006.0,0.258675,0.00243013365735115,0.691373025516403,48387.0,72178.2382147712,45908.9501903036,0.346,,,0.187944,138593.0,0.317433,0.058091,0.518056,0.0938864,42.0
Middle Village/Ridgewood,2006.0,0.451109,0.0040281973816717,0.156092648539778,67306.0,81849.283978251,51190.829030358,0.302,,,0.106196,179768.0,0.0635875,0.0104412,0.324674,0.590116,43.0
Rego Park/Forest Hills,2006.0,0.428419,0.000639795265515035,0.0409468969929623,54459.0,92835.8399410965,56255.729279565,0.289,,,0.0945496,116418.0,0.231304,0.0256146,0.12992,0.590742,44.0
Flushing/Whitestone,2006.0,0.501594,0.0,0.192238267148014,92769.0,85469.726751246,49841.8421341187,0.341,,,0.106137,246542.0,0.453359,0.0293256,0.160837,0.343958,45.0
Hillcrest/Fresh Meadows,2006.0,0.544832,0.0,0.00394944707740916,55670.0,78368.9473810603,57444.7719574083,0.288,,,0.0805564,147374.0,0.298024,0.109836,0.193942,0.368043,46.0
Ozone Park/Woodhaven,2006.0,0.466776,0.0046916890080429,0.174932975871314,47135.0,90219.698074309,44018.1367557771,0.368,,,0.141577,138679.0,0.199893,0.0907131,0.382956,0.257912,47.0
South Ozone Park/Howard Beach,2006.0,0.683176,0.00204778156996587,0.0566552901023891,41003.0,78373.9068917082,50475.4196193928,0.356,,,0.0959413,124623.0,0.205227,0.147926,0.219077,0.300274,48.0
Bayside/Little Neck,2006.0,0.708226,0.0,0.000727272727272727,49999.0,92422.9606796556,65434.543611237,0.285,,,0.0576892,117784.0,0.323635,0.0188226,0.135248,0.508066,49.0
Jamaica,2006.0,0.557246,0.0113717128642502,0.259417199715707,72466.0,76811.6610376076,45073.272646126,0.33,,,0.101243,216115.0,0.104051,0.690785,0.136446,0.0179812,50.0
Queens Village,2006.0,0.753156,0.00513039760581445,0.00769559640872168,68620.0,92343.6085092886,58633.8146352515,0.298,,,0.0585729,213704.0,0.125884,0.561796,0.116147,0.141532,51.0
Rockaways,2006.0,0.410861,0.014218009478673,0.587677725118483,44338.0,99303.0418260082,37527.3771952877,0.297,,,0.203333,120268.0,0.0149167,0.378663,0.17772,0.396182,52.0
North Shore,2006.0,0.587192,0.020159151193634,0.187798408488064,66700.0,96350.8931128228,35391.0679836883,0.303,,,0.149641,168395.0,0.0714867,0.222346,0.267508,0.418878,53.0
Mid-Island,2006.0,0.728861,0.00689655172413793,0.0372413793103448,48949.0,99966.3763751699,44020.616511101,0.325,,,0.0867272,133736.0,0.107451,0.0452533,0.0804869,0.752901,54.0
South Shore,2006.0,0.849141,0.0043613707165109,0.00249221183800623,61704.0,110041.622256457,45861.8348391482,0.3,,,0.0410887,175246.0,0.0503293,0.00896454,0.0875512,0.843591,55.0
Greenwich Village/Financial District,2006.0,0.297693,0.0,0.0340909090909091,81238.0,188256.824807431,97722.1978069778,0.264,,,0.119026,147198.0,0.192217,0.0274596,0.0493213,0.715166,29.0
Lower East Side/Chinatown,2006.0,0.108238,0.0,0.616465863453815,79337.0,78324.3117852288,42850.1719981876,0.285,,,0.250783,178669.0,0.347688,0.0969782,0.214301,0.323626,30.0
Morningside Heights/Hamilton Heights,2006.0,0.124489,0.0,0.658064516129032,51844.0,108775.70716357,31579.6840507476,0.32,,,0.273151,122736.0,0.0586055,0.234536,0.420651,0.265986,35.0
Central Harlem,2006.0,0.12224,0.0,0.919753086419753,57994.0,111722.896366108,29887.2510421387,0.301,,,0.286749,118143.0,0.0233192,0.694531,0.183947,0.0680193,36.0
East Harlem,2006.0,0.0755221,0.0,0.898181818181818,48684.0,67078.6213910286,30362.1241866788,0.271,,,0.368927,134287.0,0.0396166,0.312435,0.519492,0.109854,37.0
Washington Heights/Inwood,2006.0,0.0830613,0.0,0.462650602409639,73528.0,75961.1049614862,37844.7858767558,0.324,,,0.280695,208867.0,0.0141908,0.0859446,0.743286,0.141238,38.0
Mott Haven/Hunts Point,2006.0,0.0756772,0.0211864406779661,0.991525423728814,46646.0,63247.3994154962,20579.4894336203,0.328,,,0.432421,137900.0,0.00857143,0.27364,0.69335,0.0151559,1.0
