year,med_r_1f,med_r_cn,volume_1f,volume_cn,rent_pct_nycha,"Serious crime rate (per 1,000 residents)",pct_prof_ela,pct_prof_math,prox_subway_pct,prox_park_pct,District Name,br,gid,sb
2000.0,212165.487671233,,16.0,0.0,,,,,0.630286079104977,0.99756787158362,Morrisania/Crotona,BX,203,2
2000.0,194922.356164384,,12.0,0.0,,,,,0.962980191495135,0.994301662984068,Highbridge/Concourse,BX,204,3
2000.0,267793.329315068,,12.0,0.0,,,,,0.982789140683878,0.993445151339888,Fordham/University Heights,BX,205,4
2000.0,256397.868493151,,14.0,0.0,,,,,0.52268276238482,0.996885735383825,Belmont/East Tremont,BX,206,2
2000.0,284886.520547945,,25.0,0.0,,,,,0.995222489832985,0.898369329174399,Kingsbridge Heights/Bedford,BX,207,5
2000.0,521792.153424658,337365.616438356,55.0,19.0,,,,,0.631724045185584,0.943361126053434,Riverdale/Fieldston,BX,208,6
2000.0,281138.01369863,50979.6931506849,62.0,258.0,,,,,0.701497037386608,0.892559383356929,Parkchester/Soundview,BX,209,7
2000.0,329868.602739726,284886.520547945,195.0,18.0,,,,,0.272116864171379,0.750624487919906,Throgs Neck/Co-op City,BX,210,8
2000.0,333842.02,112455.205479452,164.0,25.0,,,,,0.858007148716747,0.743979257002227,Morris Park/Bronxdale,BX,211,9
2000.0,277389.506849315,,185.0,0.0,,,,,0.747298754959139,0.458160410991462,Williamsbridge/Baychester,BX,212,10
2000.0,162130.418246575,149321.020641096,12.0,1.0,,,,,0.999972634977971,0.997892893303779,Mott Haven/Melrose,BX,201,1
2000.0,333617.109589041,82467.1506849315,2.0,1.0,,,,,0.97260346006205,0.997107850870274,Hunts Point/Longwood,BX,202,1
2001.0,217918.273650454,,16.0,0.0,,,,,0.630286079104977,0.99756787158362,Morrisania/Crotona,BX,203,2
2001.0,302745.521111705,,10.0,0.0,,,,,0.962980191495135,0.994301662984068,Highbridge/Concourse,BX,204,3
2001.0,248704.714323891,,20.0,0.0,,,,,0.982789140683878,0.993445151339888,Fordham/University Heights,BX,205,4
2001.0,244975.240513095,,13.0,0.0,,,,,0.52268276238482,0.996885735383825,Belmont/East Tremont,BX,206,2
2001.0,281538.709246392,216455.734901122,34.0,1.0,,,,,0.995222489832985,0.898369329174399,Kingsbridge Heights/Bedford,BX,207,5
2001.0,570390.112239444,351009.299839658,66.0,19.0,,,,,0.631724045185584,0.943361126053434,Riverdale/Fieldston,BX,208,6
2001.0,296895.366114377,58501.5499732763,57.0,209.0,,,,,0.701497037386608,0.892559383356929,Parkchester/Soundview,BX,209,7
2001.0,358321.993586318,292507.749866382,182.0,30.0,,,,,0.272116864171379,0.750624487919906,Throgs Neck/Co-op City,BX,210,8
2001.0,345159.14484233,109690.406199893,120.0,17.0,,,,,0.858007148716747,0.743979257002227,Morris Park/Bronxdale,BX,211,9
2001.0,299820.443613041,,214.0,0.0,,,,,0.747298754959139,0.458160410991462,Williamsbridge/Baychester,BX,212,10
2001.0,209628.604019241,149178.952431855,15.0,2.0,,,,,0.999972634977971,0.997892893303779,Mott Haven/Melrose,BX,201,1
2001.0,234006.199893105,,1.0,0.0,,,,,0.97260346006205,0.997107850870274,Hunts Point/Longwood,BX,202,1
2002.0,278631.846795206,107517.099531006,14.0,3.0,,,,,0.630286079104977,0.99756787158362,Morrisania/Crotona,BX,203,2
2002.0,270931.683168317,,15.0,0.0,,,,,0.962980191495135,0.994301662984068,Highbridge/Concourse,BX,204,3
2002.0,292321.026576342,,27.0,0.0,,,,,0.982789140683878,0.993445151339888,Fordham/University Heights,BX,205,4
2002.0,243092.026766545,,8.0,0.0,,,,,0.52268276238482,0.996885735383825,Belmont/East Tremont,BX,206,2
2002.0,320840.151120375,213429.99830641,31.0,2.0,,,,,0.995222489832985,0.898369329174399,Kingsbridge Heights/Bedford,BX,207,5
2002.0,606031.396560709,274496.573736321,84.0,16.0,,,,,0.631724045185584,0.943361126053434,Riverdale/Fieldston,BX,208,6
2002.0,318701.216779573,64168.030224075,104.0,320.0,,,,,0.701497037386608,0.892559383356929,Parkchester/Soundview,BX,209,7
2002.0,369322.662845232,344675.009458051,233.0,16.0,,,,,0.272116864171379,0.750624487919906,Throgs Neck/Co-op City,BX,210,8
2002.0,370748.619072434,121206.279312142,179.0,11.0,,,,,0.858007148716747,0.743979257002227,Morris Park/Bronxdale,BX,211,9
2002.0,320840.151120375,,256.0,0.0,,,,,0.747298754959139,0.458160410991462,Williamsbridge/Baychester,BX,212,10
2002.0,270931.683168317,129709.969273059,23.0,2.0,,,,,0.999972634977971,0.997892893303779,Mott Haven/Melrose,BX,201,1
2002.0,256672.1208963,92259.3678999479,3.0,3.0,,,,,0.97260346006205,0.997107850870274,Hunts Point/Longwood,BX,202,1
2003.0,275301.107178969,176386.38776542,16.0,2.0,,,,,0.630286079104977,0.99756787158362,Morrisania/Crotona,BX,203,2
2003.0,293147.259352882,,11.0,0.0,,,,,0.962980191495135,0.994301662984068,Highbridge/Concourse,BX,204,3
2003.0,325104.322548028,214430.510616785,17.0,2.0,,,,,0.982789140683878,0.993445151339888,Fordham/University Heights,BX,205,4
2003.0,290518.756319515,,19.0,0.0,,,,,0.52268276238482,0.996885735383825,Belmont/East Tremont,BX,206,2
2003.0,358998.177451972,,22.0,0.0,,,,,0.995222489832985,0.898369329174399,Kingsbridge Heights/Bedford,BX,207,5
2003.0,657125.758341759,476809.066830131,75.0,42.0,,,,,0.631724045185584,0.943361126053434,Riverdale/Fieldston,BX,208,6
