Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb,gid_x,crowding_number,crowding_percent,Adults with Independent Living Difficulty_Number,Adults with Independent Living Difficulty_Percent,High School Graduation_Number,High School Graduation_Percent,"Total Cancer in Children_Age Adjusted Rate Less Than 20 Yrs Old (per 1,000,000 children)",Total Cancer in Children_Average Annual Number Less Than 20 Yrs Old,"Breast Cancer in Females_Age-Adjusted Rate - 50 Yrs and Older (per 100,000)","Breast Cancer in Females_Age-Adjusted Rate Less Than 50 Yrs Old (per 100,000)",Breast Cancer in Females_Average Annual Number - 50 Yrs and Older,Breast Cancer in Females_Average Annual Number Less Than 50 Yrs Old,"Lung and Bronchus Cancer_Age Adjusted Rate - Females (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Males (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Total (per 100,000)",Lung and Bronchus Cancer_Average Annual Number - Females,Lung and Bronchus Cancer_Average Annual Number - Males,Lung and Bronchus Cancer_Average Annual Number - Total,"Brain and Other Nervous System Cancer_Age Adjusted Rate - Females (per 100,000)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Males (per 100,000 residents)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Total (per 100,000 residents)",Brain and Other Nervous System Cancer_Average Annual Number - Females,Brain and Other Nervous System Cancer_Average Annual Number - Males,Brain and Other Nervous System Cancer_Average Annual Number - Total,med_r_1f,med_r_cn,"Serious crime rate (per 1,000 residents)",pct_prof_ela,pct_prof_math,prox_subway_pct,prox_park_pct,Unhealthy Food Access_Ratio of Bodegas to Supermarkets,School Absenteeism_Percent,"Jail Incarceration_Estimated Annual Rate (per 1,000 adults)","Bicycle Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Pedestrian Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Non-fatal Assault Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Age-Adjusted Rate (per 10,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Estimated Annual Rate (per 10,000 residents)",COVID_CASE_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,volume_1f,volume_cn,COVID_CASE_COUNT,COVID_DEATH_COUNT,TOTAL_COVID_TESTS,pop_covid_region,Bicycle Injury Hospitalizations_Number,Pedestrian Injury Hospitalizations_Number,Non-fatal Assault Hospitalizations_Number,Chronic Obstructive Pulmonary Disease  Hospitalization_Number,rent_pct_nycha
Bushwick,2007.0,0.187362,0.0212765957446809,1.0,45360.0,63257.9278311448,33871.7252621838,0.324,,0.319614,129980.0,0.0368518,0.202608,0.67238,0.0798277,14.0,14,5335.0,11.6,4743.0,4.4,61859.0,69.3,176.9,6.4,261.8,42.0,39.4,17.6,37.4,69.4,49.0,20.8,25.8,46.6,2.3,5.2,3.8,1.4,3.0,4.4,546600.731096325,369856.667555301,17.9574158186243,,,0.979316726690676,0.765256102440976,30.999999999999996,22.0,7.200000000000001,8.3,13.7,38.8,32.4,26.0,4560.364940051601,215.53959718735874,9.426786903903636,42.0,44.0,5903.0,279.0,63133.0,129441.32,20.0,30.0,92.0,374.0,
East New York/Starrett City,2007.0,0.235872,0.0310965630114566,0.891980360065466,53206.0,76024.7865074469,31308.2249272936,0.34,,0.275438,158711.0,0.0477031,0.480225,0.3887,0.0539408,15.0,15,7798.0,14.3,8422.0,7.2,79236.0,78.6,165.5,8.2,279.3,36.7,66.4,21.0,36.4,70.7,49.5,30.4,38.8,69.2,4.3,4.2,4.1,3.6,2.6,6.2,472909.1398607561,211012.49228871102,17.875495098095804,,,0.7123246745078311,0.8535756965846912,13.000000000000002,30.000000000000004,10.200000000000001,11.8,25.7,82.60000000000001,52.60000000000001,52.80000000000001,6025.90600041411,301.664949004794,13.419422955042842,775.0,45.0,23032.0,1153.0,174826.0,382216.31999999995,105.0,230.0,755.0,3010.0,
Park Slope/Carroll Gardens,2007.0,0.396026,0.0,0.0826542491268917,50756.0,137612.701185335,68245.0573631797,0.261,,0.115495,108989.0,0.0529962,0.0914955,0.210682,0.616512,16.0,16,2458.0,5.0,3865.0,4.1,80534.0,91.5,162.5,3.6,265.5,50.0,38.4,21.8,46.5,45.0,45.6,22.8,16.8,39.6,6.0,6.0,6.1,3.2,3.0,6.2,1742360.2934696397,871198.2335198729,13.0893574490169,,,0.910339346443886,0.854779683572379,12.0,10.0,2.3,,10.8,24.0,20.6,14.5,2753.2440793076703,89.72035564807804,5.014517724133418,70.0,808.0,2946.0,96.0,58890.0,107001.0,0.0,22.0,48.0,244.0,
Sunset Park,2007.0,0.273754,0.0,0.605614973262032,48704.0,68751.4873446726,38800.9770820481,0.352,,0.242827,146760.0,0.257645,0.0424707,0.456201,0.217736,17.0,17,8963.0,19.7,5259.0,4.7,60941.0,59.8,261.5,10.6,267.9,40.8,49.8,20.4,39.0,67.3,50.7,25.2,35.0,60.2,6.6,6.1,6.4,5.0,4.4,9.4,822948.7199259719,552581.4280206219,10.777675053929999,,,0.9439329930893021,0.7753412615076549,45.0,8.999999999999998,3.1,10.999999999999998,17.0,19.1,20.1,14.099999999999998,5834.326836253247,196.4195560752944,12.891469203294735,200.0,736.0,14198.0,478.0,112066.0,243352.98,60.0,76.0,104.0,516.0,
North Crown Heights/Prospect Heights,2007.0,0.195005,0.012396694214876,0.56198347107438,52761.0,97422.6590111924,33083.1414338592,0.324,,0.263653,129870.0,0.0141526,0.710241,0.113259,0.139701,18.0,18,3084.0,5.8,4686.0,4.5,77780.0,83.8,230.2,7.0,293.7,52.0,55.8,24.8,40.9,45.7,37.5,27.4,20.0,47.4,4.0,5.7,4.8,2.8,3.0,5.8,868165.682559267,666076.607123028,16.1642866064366,,,0.982119996586157,0.767474609541692,25.0,28.0,9.5,,23.6,69.2,40.7,36.6,4882.26,246.13,10.73,26.0,120.0,3154.0,159.0,29690.0,64601.26,0.0,22.0,70.0,253.0,
South Crown Heights,2007.0,0.168996,0.0257731958762887,0.701030927835051,41134.0,73837.4913016657,43654.2644046885,0.296,,0.209168,112052.0,0.00155285,0.790776,0.0831846,0.11201,19.0,19,4004.0,9.6,3445.0,4.0,65455.0,86.0,150.7,4.2,291.0,43.4,58.0,16.8,28.5,52.4,38.7,19.8,23.0,42.8,3.2,7.3,5.1,2.2,3.8,6.0,874194.610910373,565483.334691989,16.4785509642933,,,0.904834030755012,0.70454137036942,21.0,22.000000000000004,6.4,,16.5,62.3,19.3,19.8,4188.57,262.55,8.89,71.0,31.0,2409.0,151.0,27231.0,57513.69,0.0,16.0,62.0,135.0,
Bay Ridge,2007.0,0.404176,0.0,0.135618479880775,53472.0,82349.1323477571,49238.2578434829,0.299,,0.140913,126730.0,0.192827,0.0130829,0.130743,0.655023,20.0,20,5025.0,10.5,5819.0,5.8,74082.0,81.1,298.7,7.8,334.6,58.5,77.8,25.2,51.5,75.9,61.3,44.6,47.6,92.2,5.6,9.0,7.4,4.0,5.6,9.6,793406.971005552,474394.667806469,9.88232605963669,,,0.743662394685981,0.597920927701574,20.0,8.0,1.7,8.7,10.7,16.8,15.4,15.700000000000001,5090.76,198.48,10.1,211.0,60.0,3437.0,134.0,34453.0,67514.44,11.0,16.0,21.0,163.0,
Bensonhurst,2007.0,0.374685,0.001187648456057,0.432304038004751,67934.0,71046.0974751036,39044.5457874328,0.349,,0.144607,184258.0,0.317864,0.00511782,0.123854,0.540888,21.0,21,8615.0,13.5,10331.0,6.8,101318.0,73.7,203.5,8.4,292.9,47.4,100.6,29.4,44.3,84.3,61.8,57.8,84.6,142.4,4.7,8.4,6.5,5.4,8.0,13.4,643889.5478981229,561317.3452013748,9.03392223274405,,,0.8651400259810877,0.4597746291652819,26.999999999999996,10.999999999999998,1.7,5.299999999999999,12.299999999999997,17.099999999999998,15.399999999999999,16.7,6221.143202910177,237.87468515550373,14.394869265698054,520.0,768.0,18438.0,705.0,129314.0,296376.31000000006,40.0,104.0,140.0,980.0,
Borough Park,2007.0,0.320938,0.0,0.624719101123596,51866.0,72562.9758482418,38391.0099541729,0.37,,0.271581,176198.0,0.113429,0.0232579,0.109388,0.746013,22.0,22,9295.0,20.3,7641.0,7.3,69081.0,76.9,222.7,13.8,289.0,46.5,61.2,18.4,32.1,52.4,41.5,25.8,34.2,60.0,8.2,9.4,8.7,6.4,7.4,13.8,892281.3959636908,499195.2674715779,7.33331171708656,,,0.9145287784128668,0.396467499667686,18.0,10.0,1.4999999999999998,10.099999999999998,22.9,22.699999999999996,13.2,12.5,6162.90494459571,229.76863483352017,13.026279396837305,200.0,346.0,10112.0,377.0,78875.0,164078.45,38.0,80.0,84.0,284.0,
Coney Island,2007.0,0.226365,0.0,0.56,51092.0,76532.42227461,30161.5227549132,0.315,,0.238091,108484.0,0.100595,0.119796,0.125908,0.635283,23.0,23,4394.0,9.6,11829.0,13.1,68009.0,81.8,244.0,6.0,325.3,51.1,95.8,18.2,37.0,76.0,53.0,43.2,61.4,104.6,4.7,10.6,7.3,3.8,6.6,10.4,466639.054375606,645975.557107606,13.946475687900499,,,0.729082973225337,0.850035829840829,21.0,25.0,4.1,,15.1,51.5,26.2,35.6,6710.49,540.3,14.64,63.0,185.0,3105.0,250.0,21937.0,46270.81,0.0,17.0,54.0,280.0,
Flatbush,2007.0,0.227718,0.0043290043290043,0.562770562770563,58894.0,101384.870723539,40504.7522340707,0.331,,0.210088,160783.0,0.0736396,0.368783,0.135711,0.395894,24.0,24,7947.0,13.8,7892.0,6.5,88044.0,82.6,207.8,9.2,308.1,38.9,85.0,20.6,31.5,45.5,36.9,30.8,31.0,61.8,4.1,7.4,5.6,3.8,5.8,9.6,904339.2526659031,470726.6677976559,13.9272300747604,,,0.9465829270308241,0.297115940831336,21.0,17.0,3.8,8.9,16.1,32.2,17.8,18.800000000000004,6434.022510203133,328.5977235677937,12.927042643293921,276.0,54.0,11983.0,612.0,92278.0,186244.29,28.0,54.0,106.0,414.0,
Sheepshead Bay/Gravesend,2007.0,0.41927,0.0011862396204033,0.138790035587189,57255.0,86345.1060588702,38981.8449325813,0.344,,0.171054,137489.0,0.131889234,0.03122658733,0.08521301435,0.7449210425,25.0,25,5336.0,9.4,9125.0,7.6,91550.0,84.7,229.2,8.0,326.8,51.9,100.6,24.6,49.6,70.7,58.1,56.8,62.6,119.4,7.0,10.0,8.4,6.6,8.6,15.2,629842.144840046,557780.1729377809,9.94267678815362,,,0.58082788671024,0.6561002178649241,25.0,13.999999999999998,1.8999999999999997,10.2,13.2,14.399999999999999,17.000000000000004,21.0,6943.7089255563105,325.2370825291851,14.825924488909198,560.0,340.0,11230.0,526.0,76909.0,161729.09,32.0,54.0,48.0,518.0,
Chelsea/Clinton/Midtown,2008.0,0.242056,0.0,0.0613905325443787,94251.0,153615.076816721,77522.4481809468,0.259,,0.142495,145155.0,0.118845,0.0622576,0.166842,0.618559,31.0,31,3507.0,4.1,3959.0,2.8,118021.0,94.3,289.7,4.0,389.9,56.5,82.6,26.2,45.7,62.7,52.9,35.6,42.0,77.6,6.1,10.5,8.3,5.0,6.0,11.0,,1379014.3997390566,33.63468980073115,,,0.944371116404109,0.7878181494030795,7.034270406909569,12.974297194817819,3.7999999999999976,,,24.67515395499056,17.837456507390026,14.949451149808375,3581.673472856017,115.13951385737725,5.907731914692871,121.0,160136.0,129161.0,4152.0,2195239.0,3606164.3600000013,0.0,1331.0,4127.0,18552.0,
Stuyvesant Town/Turtle Bay,2008.0,0.318728,0.0008375209380234,0.0,99286.0,179559.570268299,111693.046288521,0.255,,0.0626254,149132.0,0.129717,0.0183797,0.0575463,0.779296,32.0,32,3256.0,4.1,4320.0,3.2,115352.0,96.8,350.2,5.2,393.0,57.3,115.4,26.6,55.9,52.6,54.2,61.0,42.6,103.6,8.3,12.1,10.0,6.8,8.0,14.8,7253548.829003059,1056116.70950285,15.1007697279511,,,0.9499283971036119,0.908681094818371,7.0,7.0,2.0,,11.8,25.799999999999997,7.8,7.7,3583.359730179845,89.1106990932372,5.437916437971861,15.0,3429.0,3579.0,89.0,66035.0,99878.38,0.0,54.0,129.0,273.0,
Upper West Side,2008.0,0.324176,0.0,0.023448275862069,120485.0,210320.420142335,90416.3565793827,0.234,,0.0990228,207754.0,0.0660348,0.0616932,0.115536,0.72955,33.0,33,2876.0,2.9,5933.0,3.6,148100.0,94.3,164.9,6.2,413.2,52.6,170.0,38.6,47.0,40.8,44.1,73.2,47.0,120.2,6.5,9.6,7.9,9.0,10.0,19.0,7253548.829003061,1394462.8467609899,10.852242909209998,,,0.9908493832246622,0.993337083369645,3.0000000000000004,12.999999999999998,2.1,8.699999999999998,8.4,13.2,9.5,10.699999999999998,3021.3225472220565,138.03333731994633,5.197971975782174,30.0,9990.0,8646.0,395.0,172556.0,286166.06,126.0,126.0,162.0,1092.0,
Upper East Side,2008.0,0.357945,0.0007824726134585,0.0,139735.0,199326.361253192,104981.482628021,0.244,,0.0541924,232241.0,0.0840592,0.0311745,0.0624868,0.810249,34.0,34,4405.0,3.8,5536.0,3.0,175343.0,97.4,351.7,11.0,390.9,61.1,183.2,48.6,55.5,41.0,49.1,98.2,53.6,151.8,6.2,9.5,7.7,9.6,10.4,20.0,10889259.615661902,1492577.8299255206,10.628250784334504,,,0.964513314998435,0.6862002144250811,5.000000000000001,7.000000000000002,0.7999999999999999,4.699999999999999,9.5,12.0,7.1000000000000005,8.2,3304.943448486601,130.1602819543606,5.502069128381815,266.0,12180.0,16987.0,669.0,314741.0,513987.43999999994,140.0,350.0,308.0,2086.0,
Brownsville/Ocean Hill,2008.0,0.196684,0.254237288135593,0.943502824858757,44054.0,67780.6419616425,24369.602929825,0.335,,0.32567,113502.0,0.00495145,0.720974,0.235776,0.0113478,26.0,26,3301.0,7.4,5948.0,6.6,57762.0,74.7,159.6,6.4,302.9,41.0,53.4,19.4,43.2,28.6,54.3,27.2,28.6,55.8,3.9,5.2,4.4,2.6,2.4,5.0,353973.1828553489,261127.75784410993,25.016697327255898,,,0.8941486050591358,0.8874992926263368,15.0,39.99999999999999,16.399999999999995,,38.099999999999994,108.09999999999998,60.39999999999999,61.199999999999996,4742.724338423413,282.55440000865866,10.792007692474204,34.0,14.0,7033.0,419.0,65341.0,148290.39,0.0,64.0,182.0,638.0,
East Flatbush,2008.0,0.311598,0.25764192139738,0.593886462882096,51515.0,91990.0865333232,42938.6879320729,0.335,,0.139336,147017.0,0.0279832,0.872634,0.066829,0.0135086,27.0,27,4031.0,8.2,4567.0,4.3,81377.0,85.7,184.4,6.4,288.3,41.0,76.0,21.2,19.7,43.1,28.9,16.8,25.6,42.4,3.7,4.6,4.1,3.2,3.2,6.4,441015.768803386,382465.122655673,13.3934227434798,,,0.580608418322644,0.383433217677777,21.0,22.0,5.8,,17.0,76.0,18.2,19.9,5233.63,350.55,12.11,90.0,13.0,3837.0,257.0,32044.0,73314.38,0.0,27.0,115.0,217.0,
Flatlands/Canarsie,2008.0,0.612146,0.171686746987952,0.0120663650075415,68809.0,93149.493778151,47225.8254319668,0.289,,0.12751,206947.0,0.028877,0.594674,0.0820065,0.280724,28.0,28,5029.0,7.3,8570.0,5.3,125777.0,87.6,167.2,8.8,298.0,48.2,108.0,35.8,33.5,58.9,43.5,41.6,49.2,90.8,4.4,8.0,5.9,5.0,7.2,12.2,522255.515688221,471755.728456795,14.127704171012002,,,0.12663628578419397,0.7251804502079768,9.0,16.999999999999996,3.3,,14.499999999999998,38.79999999999999,22.299999999999997,24.099999999999998,5432.138897667981,275.24921611504965,12.945615843197547,1173.0,204.0,13953.0,707.0,108696.0,256860.27000000002,0.0,87.0,219.0,963.0,
Astoria,2008.0,0.229757,0.013262599469496,0.368700265251989,79544.0,81276.8850548388,54015.1471359137,0.278,,0.164243,178480.0,0.0997591,0.0628082,0.294173,0.512646,39.0,39,4656.0,6.4,7463.0,5.0,113246.0,84.6,210.6,7.0,258.1,45.6,70.2,26.2,37.0,59.8,46.7,38.2,45.2,83.4,3.1,7.4,5.1,2.4,5.8,8.2,623805.1992942631,458958.14718680806,10.4440867342108,,,0.729352586104865,0.633329388093265,10.0,16.0,3.0,8.8,11.000000000000002,58.10000000000001,27.6,23.8,5303.227112374778,197.86369257908834,9.874960937630075,396.0,966.0,10989.0,410.0,113907.0,207213.49,108.0,138.0,750.0,2130.0,
Sunnyside/Woodside,2008.0,0.309252,0.0062893081761006,0.263406940063092,51249.0,73682.1292889194,60423.8025973145,0.286,,0.114459,132863.0,0.362471,0.0155423,0.328572,0.278068,40.0,40,6395.0,12.2,3475.0,3.0,87250.0,81.9,173.2,4.6,266.1,41.9,54.4,19.8,38.1,53.9,44.1,27.8,30.0,57.8,4.1,7.0,5.4,3.2,4.6,7.8,608652.8259324289,620417.501849166,12.463609898107698,,,0.892801462286974,0.7885059943013819,16.0,9.0,1.8999999999999997,,14.599999999999998,12.099999999999998,13.4,10.999999999999998,6171.9098593476065,244.6881024686339,11.466207463993937,192.0,681.0,7113.0,282.0,62991.0,115247.95000000001,0.0,69.0,48.0,336.0,
Jackson Heights,2008.0,0.364848,0.0365058670143416,0.464146023468057,61770.0,73395.4690391972,47126.0166000797,0.342,,0.180199,190173.0,0.157883,0.0675806,0.638566,0.113681,41.0,41,10061.0,18.7,5559.0,4.0,87710.0,70.8,198.5,9.4,244.9,34.9,63.2,21.2,28.2,46.4,35.4,26.0,31.6,57.6,3.2,3.9,3.5,3.0,3.4,6.4,571869.789678602,366372.6893656,10.8881436927426,,,0.595341072919038,0.614595189316337,17.0,11.000000000000002,4.0,8.4,10.2,23.2,14.9,12.8,7723.265354011702,458.2730933713972,14.372741814256228,414.0,252.0,15808.0,938.0,111174.0,204680.24,45.0,57.0,129.0,474.0,
Elmhurst/Corona,2008.0,0.249468,0.0146137787056367,0.643006263048017,46551.0,69758.2495143819,44891.9235607468,0.346,,0.178741,143406.0,0.322246,0.0644813,0.503159,0.09031,42.0,42,9362.0,22.0,5840.0,5.3,70492.0,71.1,196.3,7.0,251.1,34.8,52.2,17.4,34.7,52.5,42.1,24.8,29.2,54.0,3.6,6.5,5.1,2.8,4.6,7.4,615100.94069946,389370.50114088395,10.8200353282836,,,0.7222338343435879,0.682767400763866,16.0,9.0,2.7,9.0,15.6,27.1,15.700000000000001,13.799999999999999,7090.67,325.13,13.71,58.0,62.0,6499.0,298.0,47951.0,91655.7,16.0,30.0,54.0,180.0,
Middle Village/Ridgewood,2008.0,0.449004,0.0690265486725664,0.127659574468085,65938.0,68312.1820198319,58344.0650770627,0.285,,0.114123,167834.0,0.0505082,0.010707,0.323331,0.607404,43.0,43,3647.0,5.9,5419.0,3.8,107276.0,84.0,180.4,7.4,285.7,45.6,82.2,27.8,53.7,63.7,57.9,57.0,52.4,109.4,6.2,5.0,5.6,6.2,4.4,10.6,568678.22819384,383359.9204392189,10.1620748473579,,,0.39661674062182894,0.543729460404961,15.0,15.0,2.4999999999999996,9.499999999999998,10.6,18.8,19.8,19.7,5641.816065019878,198.9812589411177,12.461253250548916,717.0,102.0,9952.0,351.0,81029.0,176397.13,48.0,54.0,93.0,690.0,
Rego Park/Forest Hills,2008.0,0.483955,0.0026292725679228,0.0446976336546889,54967.0,97553.8486271217,60168.4776785336,0.277,,0.0674641,116831.0,0.217331,0.0189847,0.139372,0.611062,44.0,44,3634.0,7.0,6020.0,6.3,83010.0,92.0,230.2,4.6,332.5,49.3,86.6,20.2,37.4,50.7,42.9,37.6,36.0,73.6,6.4,8.5,7.5,5.8,4.8,10.6,765974.756342723,431731.22630226193,9.045676787361918,,,0.80083450235603,0.735171396712348,5.0,8.0,1.0,,16.5,,13.4,16.1,5566.293396844637,286.70366964535674,11.341203961361352,318.0,198.0,6271.0,323.0,55838.0,112660.26000000001,0.0,40.0,0.0,290.0,
Flushing/Whitestone,2008.0,0.505171,0.0077562326869806,0.196339434276206,94573.0,92569.2098718308,48193.738987709,0.349,,0.126059,254571.0,0.432559,0.0141061,0.171347,0.357959,45.0,45,8016.0,9.2,10058.0,4.9,146148.0,77.1,163.7,8.0,308.7,53.8,163.8,49.8,43.2,58.2,49.5,84.8,87.4,172.2,5.1,5.3,5.2,7.6,7.8,15.4,682413.873832608,428360.93737435405,9.232276334419971,,,0.32102945078270106,0.707338816662245,6.000000000000001,8.0,1.6000000000000003,4.5,18.0,15.1,11.800000000000002,14.300000000000004,5222.323759824022,354.08939902016743,11.540882784519427,2372.0,2268.0,10147.0,688.0,89823.0,194300.52999999997,40.0,216.0,152.0,1140.0,
Hillcrest/Fresh Meadows,2008.0,0.477345,0.0121065375302663,0.0084745762711864,55194.0,89912.6701486967,53793.4786836994,0.293,,0.080397,143686.0,0.32594,0.101861,0.165722,0.367162,46.0,46,5537.0,10.0,6244.0,4.8,97041.0,85.5,208.7,8.0,300.5,41.8,86.6,21.6,33.1,54.2,42.1,35.8,44.0,79.8,5.2,7.7,6.4,4.6,6.0,10.6,673129.331331484,448559.459585549,10.825818246312899,,,0.28065039503386,0.7098088318284419,5.0,14.0,1.8999999999999997,,11.1,18.7,12.9,14.999999999999998,5953.577953438628,283.6578010208978,13.436069071503104,2085.0,290.0,12971.0,618.0,97516.0,217869.01,0.0,95.0,150.0,820.0,
Ozone Park/Woodhaven,2008.0,0.462774,0.108658743633277,0.118845500848896,49281.0,82033.5752686804,52374.10424884,0.335,,0.11902,155865.0,0.255362,0.0740577,0.390902,0.208065,47.0,47,4348.0,9.7,5936.0,4.9,81466.0,77.8,203.1,7.8,268.2,41.1,55.2,21.6,35.1,59.4,45.3,25.6,32.8,58.4,5.6,6.4,5.9,3.8,4.0,7.8,470029.96411939786,441015.76880338596,11.574204847183799,,,0.908454085195531,0.46820443435754194,10.999999999999998,16.0,3.5,,22.399999999999995,33.39999999999999,19.499999999999996,16.199999999999996,6935.167857980462,282.8768743451976,14.878549074570191,633.0,111.0,6693.0,273.0,45872.0,96508.13,0.0,99.0,147.0,486.0,
South Ozone Park/Howard Beach,2008.0,0.650949,0.122340425531915,0.0354609929078014,44684.0,77682.6065390912,58507.705138645,0.301,,0.118396,140123.0,0.191339,0.155984,0.268899,0.268614,48.0,48,3044.0,7.7,7382.0,6.7,73994.0,76.9,223.1,7.0,290.3,35.8,62.8,16.4,41.4,64.9,51.2,31.4,37.8,69.2,5.9,6.6,6.2,4.2,4.2,8.4,471190.531932039,313353.309412932,11.879881201188,,,0.393896054143788,0.398467628655344,8.0,16.0,3.7,,9.800000000000002,38.20000000000001,22.9,22.5,6962.174759860871,238.82723730218052,15.93190808313191,3264.0,424.0,18074.0,620.0,115152.0,259602.84,0.0,104.0,368.0,1568.0,
Bayside/Little Neck,2008.0,0.743037,0.0085632730732635,0.0,47316.0,96012.6145719351,62346.8634628598,0.324,,0.0653652,124989.0,0.316684,0.0249222,0.120411,0.526758,49.0,49,1467.0,3.4,4454.0,4.5,80671.0,88.8,251.6,6.2,312.6,50.6,80.4,22.0,36.4,61.8,47.3,34.8,45.8,80.6,4.5,7.8,6.1,3.6,5.0,8.6,760171.917279521,522255.51568822097,8.94299164977149,,,0.20545073375262102,0.6865828092243189,5.0,5.0,1.0,,9.1,,10.6,13.0,4118.631010429971,178.05587461432785,9.224343922574512,4512.0,640.0,6870.0,297.0,74818.0,166802.95,0.0,80.0,0.0,928.0,
Jamaica,2008.0,0.475812,0.268292682926829,0.254498714652956,76304.0,86706.021282371,46638.5781187707,0.299,,0.125253,222807.0,0.119906,0.680782,0.133865,0.0135813,50.0,50,7163.0,10.1,10771.0,5.8,133121.0,80.9,157.2,9.6,284.9,40.9,111.0,33.6,35.5,50.3,41.0,49.8,46.0,95.8,3.0,4.7,3.7,3.8,4.8,8.6,417804.4125505759,262868.609563071,17.401454369817795,,,0.4074489863303179,0.5874001188668029,19.999999999999996,21.999999999999993,7.799999999999999,,18.299999999999997,58.699999999999996,23.099999999999998,25.399999999999995,5938.39815190266,304.88796269004973,13.618239989770535,4268.0,40.0,10245.0,526.0,76422.0,172521.27000000002,0.0,180.0,540.0,1612.0,
Queens Village,2008.0,0.754824,0.1941431670282,0.0043383947939262,66078.0,97237.0136142708,66948.5148399793,0.282,,0.070111,203425.0,0.131995,0.582986,0.105916,0.155959,51.0,51,2877.0,4.8,8234.0,5.0,127658.0,87.8,143.3,6.6,300.6,48.1,114.4,33.6,31.0,50.3,38.5,43.2,46.0,89.2,3.4,6.8,4.9,4.6,6.4,11.0,481635.642245803,402691.49849437206,10.2249801308308,,,0.0911827603224215,0.3841092284915281,14.000000000000002,15.000000000000002,3.5000000000000004,,5.6,20.3,14.9,17.4,5850.4735908585435,260.37867523377963,13.754194718162978,8840.0,20.0,15279.0,680.0,113817.0,261158.37999999998,0.0,120.0,390.0,2400.0,
Rockaways,2008.0,0.394388,0.127937336814621,0.469973890339426,47385.0,83842.9004885869,39266.6513728783,0.29,,0.152231,117954.0,0.00800312,0.423377,0.17049,0.378181,52.0,52,3029.0,7.4,7228.0,8.4,61975.0,78.2,186.3,6.4,326.3,49.5,67.0,19.6,44.0,65.8,53.5,32.8,38.2,71.0,5.5,7.0,6.2,4.0,3.8,7.8,429990.374583302,457781.3314247911,9.90757925126071,,,0.677553315741662,0.8160660985421979,8.0,27.999999999999996,7.7,,15.4,56.099999999999994,45.699999999999996,55.0,7274.133560239109,493.0671139136179,14.467808362249217,890.0,150.0,9073.0,615.0,64780.0,124729.6,0.0,85.0,305.0,2055.0,
North Shore,2008.0,0.562776,0.192170818505338,0.154211150652432,68160.0,92154.8871627181,35129.227120815,0.335,,0.187867,179225.0,0.0898535,0.21502,0.23817,0.431391,53.0,53,3575.0,5.9,7205.0,5.5,98058.0,85.1,212.2,10.4,349.3,38.4,96.8,23.8,54.4,71.3,61.6,52.6,55.8,108.4,6.0,7.3,6.7,5.6,6.0,11.6,411577.38595185394,303488.483005488,9.95639847732905,,,0.12680297742224397,0.6549093492293909,27.999999999999996,25.999999999999996,6.499999999999999,8.8,29.3,70.8,38.4,40.5,8034.9098911779665,246.86997554033488,14.852986531067808,3024.0,400.0,8625.0,265.0,59231.0,107344.07,60.0,212.0,508.0,1940.0,
Mid-Island,2008.0,0.741443,0.0777777777777778,0.0259259259259259,51878.0,97943.7994121689,47286.1749582241,0.315,,0.079688,142188.0,0.101183,0.039715,0.116381,0.731975,54.0,54,2183.0,4.6,6194.0,5.8,85468.0,88.5,247.0,7.6,350.8,47.7,98.0,21.8,55.1,84.0,67.5,55.8,63.0,118.8,5.0,7.3,6.1,4.4,5.0,9.4,478558.976974493,295944.792223325,7.53909231846763,,,0.243204752604167,0.568644205729167,7.000000000000001,14.999999999999998,2.4,,16.100000000000005,36.6,28.000000000000004,34.8,8589.422355526536,323.80758804590215,15.861834701778657,2608.0,856.0,19762.0,745.0,126325.0,230073.74,0.0,96.0,184.0,1352.0,
South Shore,2008.0,0.843201,0.0973282442748092,0.0,59152.0,110734.41727528,68959.7788592853,0.26,,0.0223493,165994.0,0.0392484,0.0101389,0.102094,0.844525,55.0,55,1086.0,1.9,6227.0,4.8,107940.0,92.5,255.7,9.8,368.7,49.8,110.0,29.4,59.5,73.6,65.3,63.2,61.2,124.4,7.4,8.4,7.8,6.8,6.6,13.4,483956.77787108393,329020.974883579,,,,0.28378021833053,0.579103591570199,4.0,13.0,1.6000000000000003,,15.200000000000001,15.3,26.4,29.299999999999997,8248.681680983102,133.35343192177282,15.749107795779556,4068.0,352.0,11443.0,185.0,73402.0,138725.19,0.0,104.0,96.0,1320.0,
